name,gubun,tel,lat,lng,addr,img
우진해장국,한식,064-757-3393,33.511488,126.520086,제주특별자치도 제주시 서사로 11,https://lh3.googleusercontent.com/grass-cs/ACvplmPxABxQZfV51mSABNzylithWU-uilEjWPCx4mTdX12EqWvPHrzqADETHJGiJq4Bub5d22Jdy-7vRIgHvlDh6QYVWRrqKKTGprY56lkoacTt5i9AJMDm2v1JlG196iozuXlS2OiZJ57r5G-1=w326-h312-n-k-no
고집돌우럭 제주공항점,해산물,0507-1436-1008,33.5173,126.5266,제주특별자치도 제주시 임항로 30,https://lh3.googleusercontent.com/grass-cs/ACvplmPgruzMof3Bl39FbK2TPEQhW1YGlFi007jihKatTSkiow1rPd11UwOXcy7vX-wWqY08DBsn8EmwGuFzsE1tx12Fq4MxNBrI8WWGYKlep3BbOeUokth2fAx-TTqEL1zXIZRxpew=w326-h312-n-k-no
돌담흑돼지 연동본점,고기,064-742-7355,33.486,126.4935,"제주특별자치도 제주시 연동7길 35, 2층",https://lh3.googleusercontent.com/grass-cs/ACvplmMBO7PGn14LHxQ_RZesb5WbK-H4M0ejfVHesC9UPM-BmSB-xeSMSdbSqoOsl1V-fN96WsLTfCihYj-K1sL9eS8NR7unxlQi1I0_iWn3n0vCAe2wxGlTaG3So_oMV0c-FgWMT_Cd=w326-h312-n-k-no
제주갈치 충민정,해산물,064-753-0043,33.5104,126.516,제주특별자치도 제주시 용담1동 2818-2,https://lh3.googleusercontent.com/grass-cs/ACvplmMKsf5P5VgeK5BuJtHGEKgBHETEHSGANPZKN37TRYlinbfrYQy0oJ5PRUfFD7g4RVNLQXUp4IuA93eyF85NXAGK0m4mR9BJG20sVB-9ZjRmArsdDFOsAjr7jOv6Kv_VtXMsLf_f=w326-h312-n-k-no
상춘재,한식,064-743-8877,33.5017,126.5425,제주특별자치도 제주시 중앙로 598,https://lh3.googleusercontent.com/grass-cs/ACvplmMBO7PGn14LHxQ_RZesb5WbK-H4M0ejfVHesC9UPM-BmSB-xeSMSdbSqoOsl1V-fN96WsLTfCihYj-K1sL9eS8NR7unxlQi1I0_iWn3n0vCAe2wxGlTaG3So_oMV0c-FgWMT_Cd=w326-h312-n-k-no
양씨네 제주전복칼국수 본점,해산물,064-742-6090,33.515,126.526,제주특별자치도 제주시 관덕로13길 10-1,https://lh3.googleusercontent.com/grass-cs/ACvplmMOh7KFl8p8h3VH-ka7ZkgwC2PlmWc8whAK0_MFnWyVwXTLsvpkjPo48VY7Lq59P2r8h6lEJ3Kt6Wz-fDX1dVoFfXIBTQlTKrFS861ti_chcQxJkLpp8JlCYLE7l7YlrhToHF5tKXBbhRzg=w326-h312-n-k-no
오직흑돼지,고기,064-726-5622,33.515,126.507,제주특별자치도 제주시 용마로 24,https://lh3.googleusercontent.com/grass-cs/ACvplmNSzb9i1bkH5zpTmNakCP1BiVlpiSVRPdlukXtgmXZrWc9LENtzmSYbX_Gpn2uPMw6PF8M1AxLmZ8euFBcZjTolh1hmsjhskN7tAklwVkUDJ9bm939WCxpBUOmXRZsHzc7JnWJYXQmrE0I6=w326-h312-n-k-no
일통이반,해산물,064-723-4978,33.512,126.518,제주특별자치도 제주시 중앙로2길 25,https://lh3.googleusercontent.com/grass-cs/ACvplmN2EDvSGeKoGlaFjlbdSns7ooPd35GT0jnJ7zz1DSeAVzj3jBUPAcMCxMNVObit0xwDcaQD6hjPC7tur5Jwu69VQE-zlivi6QZaZc7meskML3EY9uFWWq-R6M6JOzKwsNQf3Zis11CLg-MQ=w326-h312-n-k-no
갈치바다,해산물,064-743-1020,33.465,126.322,"제주특별자치도 제주시 애월읍 애월로 15-1, 1층",https://lh3.googleusercontent.com/grass-cs/ACvplmNKGqLfq_qi0RS4pcJc_fcY8Co_UnPwykzeB4B6ln6kBSaGeeZSJzgTGpXMT5z10B4vzBunlZAN-vWDGCsWt9V48xlqgDzAjUttKZP0Fti0sFJ_U00B9TeneEHGmjaRFToQXSdTWvr1xNRW=w326-h312-n-k-no
제주동문간장게장,해산물,0507-1311-9514,33.5125,126.526,제주특별자치도 제주시 동문로6길 5-2,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl9jtgpB7txOTGsDCZmTTmoy1MJFHdOXnVfNgqy30O6Z13wk53A7tq7p9QYUIIDPSMyzICX7-rkULIPQXOI-HUBDqtY-D2cFwgvvwv4wxRRb-ekDXU00kAViq5d5A_NL7xFAzY32vV2czFq=s1360-w1360-h1020-rw
