iter	Passed	Remaining
0	186	186544
1	220	109860
2	257	85701
3	295	73577
4	331	66006
5	369	61261
6	409	58035
7	449	55738
8	489	53945
9	530	52471
10	569	51164
11	607	49992
12	640	48661
13	673	47453
14	706	46425
15	741	45592
16	772	44681
17	805	43965
18	839	43362
19	872	42774
20	909	42415
21	951	42320
22	989	42016
23	1024	41662
24	1058	41277
25	1093	40980
26	1127	40639
27	1160	40269
28	1194	39999
29	1236	39972
30	1273	39808
31	1308	39585
32	1343	39376
33	1376	39116
34	1411	38911
35	1444	38674
36	1477	38464
37	1513	38311
38	1548	38151
39	1582	37970
40	1613	37745
41	1646	37562
42	1682	37451
43	1717	37308
44	1750	37155
45	1784	37000
46	1815	36807
47	1849	36675
48	1881	36517
49	1913	36356
50	1945	36199
51	1975	36017
52	2008	35888
53	2047	35863
54	2087	35863
55	2124	35805
56	2160	35746
57	2195	35661
58	2229	35556
59	2262	35453
60	2296	35345
61	2330	35263
62	2366	35190
63	2400	35109
64	2436	35052
65	2470	34957
66	2504	34882
67	2539	34802
68	2576	34765
69	2609	34673
70	2645	34614
71	2684	34597
72	2723	34581
73	2758	34522
74	2792	34445
75	2828	34386
76	2862	34310
77	2899	34274
78	2933	34201
79	2969	34151
80	3003	34078
81	3036	33993
82	3069	33915
83	3103	33845
84	3137	33773
85	3172	33712
86	3206	33649
87	3238	33565
88	3276	33536
89	3310	33475
90	3342	33390
91	3375	33313
92	3406	33226
93	3438	33136
94	3470	33061
95	3503	32989
96	3532	32883
97	3564	32808
98	3597	32738
99	3628	32660
100	3660	32584
101	3692	32509
102	3723	32424
103	3753	32339
104	3784	32260
105	3816	32192
106	3849	32124
107	3882	32069
108	3913	31994
109	3944	31916
110	3974	31831
111	4005	31758
112	4037	31695
113	4070	31635
114	4103	31578
115	4135	31516
116	4169	31464
117	4202	31410
118	4234	31346
119	4266	31286
120	4296	31212
121	4328	31149
122	4360	31090
123	4390	31017
124	4420	30946
125	4451	30874
126	4481	30805
127	4511	30734
128	4542	30671
129	4574	30614
130	4610	30582
131	4645	30544
132	4681	30518
133	4718	30496
134	4756	30475
135	4791	30441
136	4852	30565
137	4893	30567
138	4924	30505
139	4956	30449
140	4987	30382
141	5018	30320
142	5048	30255
143	5080	30199
144	5111	30138
145	5141	30074
146	5171	30010
147	5202	29949
148	5233	29891
149	5265	29835
150	5301	29806
151	5333	29758
152	5365	29702
153	5395	29641
154	5425	29576
155	5454	29508
156	5485	29455
157	5516	29399
158	5547	29340
159	5577	29279
160	5605	29209
161	5639	29173
162	5669	29113
163	5699	29055
164	5731	29002
165	5762	28951
166	5793	28896
167	5824	28842
168	5852	28776
169	5885	28733
170	5913	28668
171	5943	28612
172	5975	28567
173	6009	28528
174	6039	28473
175	6070	28420
176	6104	28383
177	6136	28337
178	6168	28294
179	6203	28260
180	6235	28212
181	6265	28160
182	6291	28089
183	6321	28034
184	6353	27991
185	6384	27939
186	6413	27883
187	6450	27860
188	6487	27838
189	6524	27812
190	6557	27773
191	6589	27729
192	6621	27686
193	6651	27634
194	6683	27590
195	6716	27550
196	6749	27510
197	6784	27480
198	6817	27442
199	6853	27412
200	6887	27379
201	6921	27345
202	6962	27335
203	6993	27289
204	7026	27248
205	7060	27215
206	7092	27170
207	7127	27140
208	7165	27119
209	7206	27109
210	7242	27080
211	7274	27039
212	7306	26995
213	7339	26958
214	7372	26917
215	7405	26880
216	7436	26834
217	7470	26797
218	7503	26760
219	7524	26678
220	7559	26645
221	7595	26617
222	7631	26591
223	7668	26566
224	7706	26543
225	7744	26523
226	7784	26509
227	7825	26496
228	7859	26461
229	7897	26440
230	7931	26403
231	7965	26368
232	7996	26324
233	8030	26288
234	8065	26256
235	8103	26233
236	8139	26203
237	8175	26176
238	8210	26141
239	8245	26109
240	8284	26089
241	8323	26072
242	8351	26017
243	8388	25989
244	8423	25958
245	8460	25931
246	8500	25914
247	8539	25893
248	8572	25855
249	8634	25904
250	8670	25871
251	8703	25833
252	8736	25795
253	8770	25758
254	8802	25716
255	8836	25681
256	8871	25647
257	8906	25614
258	8943	25587
259	8986	25575
260	9055	25640
261	9104	25645
262	9145	25629
263	9186	25610
264	9223	25582
265	9268	25574
266	9308	25554
267	9477	25887
268	10416	28305
269	10490	28363
270	10552	28385
271	10620	28424
272	10684	28451
273	10733	28438
274	10779	28418
275	10825	28396
276	10869	28370
277	10914	28345
278	10976	28366
279	11043	28397
280	11092	28381
281	11141	28368
282	11192	28356
283	11237	28332
284	11310	28374
285	11364	28372
286	11404	28331
287	11442	28287
288	11480	28244
289	11523	28211
290	11566	28180
291	11609	28150
292	11653	28120
293	11695	28084
294	11735	28044
295	11772	27999
296	11813	27961
297	11855	27927
298	11895	27889
299	11933	27845
300	11975	27809
301	12010	27759
302	12047	27712
303	12084	27667
304	12123	27625
305	12163	27586
306	12202	27546
307	12241	27502
308	12282	27466
309	12321	27426
310	12354	27369
311	12391	27325
312	12430	27283
313	12467	27238
314	12504	27193
315	12538	27140
316	12576	27096
317	12615	27056
318	12653	27011
319	12692	26970
320	12728	26924
321	12767	26882
322	12803	26836
323	12839	26787
324	12878	26747
325	12920	26712
326	12960	26674
327	13003	26640
328	13048	26612
329	13092	26582
330	13135	26548
331	13175	26510
332	13219	26478
333	13261	26444
334	13303	26408
335	13347	26377
336	13389	26341
337	13432	26309
338	13477	26278
339	13522	26248
340	13563	26212
341	13603	26172
342	13648	26142
343	13686	26099
344	13727	26062
345	13772	26033
346	13815	25998
347	13859	25966
348	13900	25928
349	13940	25889
350	13981	25851
351	14026	25820
352	14064	25778
353	14103	25737
354	14143	25696
355	14181	25653
356	14225	25621
357	14271	25592
358	14315	25560
359	14362	25532
360	14412	25510
361	14461	25486
362	14507	25457
363	14556	25433
364	14600	25401
365	14642	25364
366	14678	25318
367	14716	25274
368	14757	25234
369	14800	25201
370	14844	25167
371	14889	25136
372	14937	25109
373	14984	25081
374	15028	25047
375	15070	25010
376	15113	24974
377	15160	24946
378	15201	24908
379	15248	24878
380	15291	24843
381	15333	24805
382	15378	24773
383	15421	24739
384	15461	24697
385	15502	24659
386	15542	24618
387	15581	24576
388	15627	24545
389	15670	24510
390	15715	24478
391	15757	24440
392	15795	24397
393	15834	24354
394	15876	24317
395	15918	24279
396	15964	24248
397	16008	24214
398	16056	24185
399	16104	24157
400	16152	24128
401	16192	24086
402	16235	24051
403	16274	24008
404	16315	23969
405	16356	23929
406	16393	23885
407	16427	23835
408	16459	23783
409	16487	23726
410	16515	23667
411	16546	23614
412	16579	23564
413	16609	23509
414	16640	23457
415	16673	23406
416	16706	23356
417	16737	23303
418	16771	23256
419	16803	23204
420	16836	23155
421	16871	23108
422	16903	23058
423	16936	23008
424	16966	22954
425	16996	22901
426	17028	22851
427	17061	22801
428	17092	22749
429	17122	22697
430	17154	22646
431	17184	22594
432	17219	22548
433	17252	22499
434	17284	22450
435	17315	22398
436	17344	22345
437	17378	22298
438	17413	22252
439	17446	22204
440	17481	22158
441	17512	22108
442	17544	22059
443	17577	22012
444	17608	21960
445	17640	21911
446	17675	21867
447	17708	21819
448	17740	21770
449	17771	21721
450	17803	21671
451	17838	21627
452	17870	21578
453	17902	21530
454	17942	21491
455	17984	21454
456	18024	21416
457	18060	21373
458	18095	21327
459	18129	21282
460	18163	21236
461	18199	21193
462	18234	21149
463	18270	21105
464	18305	21061
465	18339	21015
466	18375	20972
467	18418	20937
468	18471	20912
469	18519	20883
470	18560	20846
471	18597	20803
472	18633	20760
473	18671	20719
474	18707	20676
475	18740	20630
476	18778	20589
477	18813	20545
478	18852	20505
479	18886	20459
480	18920	20415
481	18956	20371
482	18995	20332
483	19034	20293
484	19077	20257
485	19113	20214
486	19153	20175
487	19193	20137
488	19239	20104
489	19277	20063
490	19311	20019
491	19345	19974
492	19383	19934
493	19421	19892
494	19457	19851
495	19494	19808
496	19528	19764
497	19565	19722
498	19609	19688
499	19648	19648
500	19686	19607
501	19727	19570
502	19763	19527
503	19800	19485
504	19838	19445
505	19874	19402
506	19910	19361
507	19948	19320
508	19984	19278
509	20026	19240
510	20062	19198
511	20101	19159
512	20138	19117
513	20175	19076
514	20212	19035
515	20249	18993
516	20287	18953
517	20330	18917
518	20372	18880
519	20411	18841
520	20447	18798
521	20485	18759
522	20522	18717
523	20560	18676
524	20597	18635
525	20637	18597
526	20677	18558
527	20715	18518
528	20751	18476
529	20788	18434
530	20826	18394
531	20862	18352
532	20896	18308
533	20930	18265
534	20964	18221
535	20996	18176
536	21029	18131
537	21069	18092
538	21108	18054
539	21142	18010
540	21173	17964
541	21206	17920
542	21240	17876
543	21278	17836
544	21308	17789
545	21340	17744
546	21373	17700
547	21408	17657
548	21442	17614
549	21475	17570
550	21506	17524
551	21536	17478
552	21569	17435
553	21603	17392
554	21639	17350
555	21669	17304
556	21699	17258
557	21731	17214
558	21764	17169
559	21804	17131
560	21845	17094
561	21885	17056
562	21927	17019
563	21967	16981
564	22007	16943
565	22048	16906
566	22082	16863
567	22114	16819
568	22147	16775
569	22179	16731
570	22209	16686
571	22239	16640
572	22272	16597
573	22307	16555
574	22341	16513
575	22374	16470
576	22409	16428
577	22439	16382
578	22470	16338
579	22503	16295
580	22538	16254
581	22569	16210
582	22604	16168
583	22635	16124
584	22668	16081
585	22703	16039
586	22752	16008
587	22793	15970
588	22833	15933
589	22872	15894
590	22910	15855
591	22952	15818
592	22988	15778
593	23028	15739
594	23066	15700
595	23108	15663
596	23144	15623
597	23181	15583
598	23213	15540
599	23245	15496
600	23275	15452
601	23316	15415
602	23354	15376
603	23393	15337
604	23432	15299
605	23474	15262
606	23509	15221
607	23547	15181
608	23584	15142
609	23622	15102
610	23662	15065
611	23703	15027
612	23740	14987
613	23774	14946
614	23808	14904
615	23841	14862
616	23873	14819
617	23904	14775
618	23938	14734
619	23975	14694
620	24011	14654
621	24051	14616
622	24092	14579
623	24134	14542
624	24177	14506
625	24228	14475
626	24305	14459
