ID,Outcome
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
